(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
30:29:23,1701192810,2023-11-28T17:33:30,2023-11-28T19:33:30,0.991,1828.13,33.13,33.98,34.52,32.86,34.23,861.88,858.95,380.950012,36.81,0.969,414,0,10.712,0.96179,3.57,31256,49,30.0,203.06,466.12,221.04,706.89,226.4,897.1,229.03,1001.59,1366.62,19015.0,1607.08,27933.75,1619.38,29454.5,1621.37,29761.25,1621.37,29761.25,0.58,0.0,359.669,0.0,-1.986819,30.745005,1354.6,12.0,0.440498,0.7,796.9,21772.6,447,986,-116.1,10740.5,-260,163,112.1,12349.2,-72,329,1647.9,752809664.0,-51091,82530,-1253.3,284609376.0,-26390,34160,2927.4,618460160.0,-65406,51808,0.0,96.7,0.0,0.0,0.0,3.3,22,0.269753,0.097702,0.092133,0.039403,0.0,30.0
30:29:53,1701192840,2023-11-28T17:34:00,2023-11-28T19:34:00,0.993,1828.62,33.08,33.91,34.38,32.86,34.11,861.88,858.98,383.016663,38.08,0.9689,413,0,10.724,0.96248,3.57,31241,49,30.0,32.98,662.14,34.96,749.43,35.04,757.12,35.07,760.92,224.39,30563.96,262.23,41807.98,263.19,42161.16,263.3,42204.06,263.3,42204.06,0.54,0.0,359.7328,0.0,-1.986807,30.745012,1354.8,12.0,0.189666,0.7,934.5,89.6,907,958,-170.6,250.4,-189,-105,-3.7,77.0,-20,18,-208.6,8337425.5,-11068,5722,1194.0,24484132.0,-2520,21971,-1042.2,3572452.8,-6921,3053,0.0,100.0,0.0,0.0,0.0,0.0,0,0.321518,0.126159,0.083701,0.038388,0.0,30.0
30:30:23,1701192870,2023-11-28T17:34:30,2023-11-28T19:34:30,0.994,1829.12,33.09,33.85,34.39,32.86,34.1,861.91,858.86,384.149994,38.11,0.9687,412,0,10.734,0.96387,3.57,31226,49,30.0,16.36,21.09,17.3,23.58,17.3,23.58,17.3,23.58,111.41,978.32,130.11,1334.48,130.55,1343.37,130.59,1344.23,130.59,1344.23,0.52,0.0,359.7458,0.0,-1.986788,30.745125,1361.9,12.0,0.705722,0.7,924.3,37.5,900,932,-190.8,98.8,-204,-170,6.5,83.0,-10,31,-327.3,5474184.5,-11147,2458,267.4,1026307.0,-2292,2388,-1071.5,1450356.6,-5888,2073,0.0,100.0,0.0,0.0,0.0,0.0,0,0.317764,0.17879,0.08362,0.03853,0.0,30.0
30:30:53,1701192900,2023-11-28T17:35:00,2023-11-28T19:35:00,0.995,1829.62,33.15,33.82,34.49,32.86,34.07,861.95,858.67,385.399994,38.06,0.9683,411,0,10.747,0.96641,3.57,31211,49,30.0,25.75,9.6,27.23,10.73,27.23,10.73,27.23,10.73,175.35,445.25,204.8,607.36,205.48,611.41,205.55,611.8,205.55,611.8,0.53,0.0,359.7569,0.0,-1.986754,30.745071,1349.6,12.0,0.280644,0.7,920.9,145.2,889,942,-178.5,692.9,-240,-116,19.0,216.2,0,82,-1028.3,76240960.0,-28516,20562,1381.6,16896104.0,-5153,15417,-1385.2,10470811.0,-10176,5425,0.0,100.0,0.0,0.0,0.0,0.0,0,0.317882,0.047487,0.083595,0.039465,0.0,30.0
30:31:23,1701192930,2023-11-28T17:35:30,2023-11-28T19:35:30,0.998,1830.12,33.22,33.79,34.59,32.86,33.82,861.89,858.62,386.766663,37.8,0.968,411,0,10.746,0.96687,3.57,31197,49,30.0,36.52,18.56,38.62,20.76,38.62,20.76,38.62,20.76,248.73,861.12,290.5,1174.62,291.47,1182.48,291.56,1183.23,291.56,1183.23,0.52,0.0,359.7733,0.0,-1.986823,30.745028,1331.1,12.0,0.48316,0.9,929.3,367.8,890,978,-199.4,1328.3,-275,-116,-3.4,497.1,-52,71,-5.7,3521977.8,-6641,3517,97.0,5950468.0,-7297,6903,-802.5,2404755.2,-3141,4611,0.0,100.0,0.0,0.0,0.0,0.0,0,0.29557,0.061318,0.092061,0.038517,0.0,30.0
30:31:53,1701192960,2023-11-28T17:36:00,2023-11-28T19:36:00,0.999,1830.62,33.3,33.77,34.69,32.86,34.48,861.81,858.46,387.116669,37.64,0.9676,411,0,10.745,0.96641,3.57,31182,49,30.0,40.27,467.76,42.6,524.3,42.61,525.35,42.62,525.86,274.27,21676.49,320.34,29584.07,321.42,29791.48,321.53,29812.88,321.53,29812.88,0.55,0.0,359.7935,0.0,-1.986827,30.745022,1292.5,12.0,0.663574,0.9,914.9,937.9,822,968,-197.8,4912.4,-321,149,13.8,3489.8,-69,173,-852.4,41426880.0,-29995,8163,961.8,65592364.0,-22513,25480,-1175.2,54009968.0,-32550,20606,0.0,100.0,0.0,0.0,0.0,0.0,0,0.317483,0.291031,0.083753,0.038504,0.0,30.0
30:32:23,1701192990,2023-11-28T17:36:30,2023-11-28T19:36:30,0.999,1831.12,33.4,33.79,34.83,32.86,34.46,861.99,858.19,387.700012,37.86,0.9669,411,0,10.746,0.9671,3.57,31167,49,29.0,84.01,5.61,88.95,6.6,89.04,6.9,89.09,7.04,571.92,254.84,668.15,351.72,670.49,356.81,670.73,357.53,670.73,357.53,0.55,0.0,359.8263,0.0,-1.986775,30.745117,1325.7,12.0,0.299662,0.8,896.8,76.7,874,916,-255.6,230.0,-301,-230,30.9,146.0,7,61,136.2,4039032.0,-4051,4733,-458.0,3890555.0,-6711,4313,-769.2,1750865.6,-4156,3220,0.0,100.0,0.0,0.0,0.0,0.0,0,0.318573,0.107217,0.083745,0.03939,0.0,30.0
30:32:53,1701193020,2023-11-28T17:37:00,2023-11-28T19:37:00,1.0,1831.62,33.5,33.79,34.91,32.86,34.54,861.91,858.16,388.366669,37.3,0.9666,411,0,10.745,0.9671,3.57,31152,49,30.0,77.66,11.67,82.14,12.92,82.16,12.8,82.16,12.75,528.89,543.78,617.74,739.88,619.81,743.66,620.01,744.22,620.01,744.22,0.52,0.0,359.8692,0.0,-1.986772,30.745121,1339.1,11.0,0.257,1.2,922.4,261.0,876,951,-195.9,1668.1,-288,-111,4.7,582.0,-61,61,-918.6,7635360.5,-10998,3071,430.3,2869094.8,-3438,3797,-1489.0,7716385.0,-15487,1478,0.0,100.0,0.0,0.0,0.0,0.0,0,0.228826,0.135081,0.083724,0.038488,0.0,30.0
30:33:23,1701193050,2023-11-28T17:37:30,2023-11-28T19:37:30,1.002,1832.12,33.58,33.82,35.09,32.86,34.75,861.89,858.03,389.066681,35.12,0.9667,411,0,10.745,0.96779,3.57,31137,49,30.0,147.16,5984.92,173.71,10892.06,189.05,15435.93,196.6,18000.48,955.42,222286.69,1147.27,345149.5,1171.01,376102.75,1175.59,382582.75,1175.59,382582.75,0.62,0.01,359.9333,0.0,-1.986743,30.745016,1353.2,12.0,0.276018,0.7,849.9,11463.9,613,981,-99.6,19353.8,-342,194,81.6,12213.0,-51,365,-8041.0,1014028672.0,-86100,53287,-1466.7,185831600.0,-27361,34597,-3021.6,239608992.0,-40477,27168,0.0,100.0,0.0,0.0,0.0,0.0,27,0.228855,0.191642,0.083566,0.038465,0.0,30.0
30:33:53,1701193080,2023-11-28T17:38:00,2023-11-28T19:38:00,1.002,1832.62,33.61,33.78,35.19,32.86,34.71,861.84,857.9,387.733337,34.8,0.9665,411,0,10.745,0.96687,3.57,31122,49,30.0,250.13,844.99,291.65,1057.72,314.65,1270.32,325.96,1414.15,1633.35,39057.0,1954.74,53217.25,1991.12,53767.75,1998.06,53867.25,1998.06,53867.25,0.59,0.0,360.0501,0.0,-1.986812,30.744829,1359.6,12.0,0.857866,0.7,865.3,26743.2,491,1121,-107.2,23159.4,-415,269,90.4,17679.3,-110,408,7527.2,755580800.0,-60051,56813,2681.2,454500704.0,-34230,45543,-2329.7,556743104.0,-47232,53348,0.0,100.0,0.0,0.0,0.0,0.0,52,0.241501,0.080826,0.092085,0.03939,0.0,30.0
30:34:23,1701193110,2023-11-28T17:38:30,2023-11-28T19:38:30,1.002,1833.12,33.6,33.73,35.22,32.86,34.74,861.86,857.96,387.899994,34.33,0.9667,411,0,10.746,0.96733,3.57,31107,49,30.0,241.06,999.11,270.82,886.18,284.29,807.83,290.92,808.84,1600.67,51945.75,1897.07,66302.0,1920.88,64078.5,1925.19,63579.75,1925.19,63579.75,0.62,0.0,360.1912,0.0,-1.987039,30.744785,1359.6,12.0,0.785392,0.7,946.4,31254.3,638,1261,-88.3,27277.2,-464,211,72.9,21137.1,-120,470,1133.8,1888492032.0,-67873,115552,7332.5,755915008.0,-40180,67270,-42.3,976972096.0,-69973,78890,0.0,100.0,0.0,0.0,0.0,0.0,55,0.234971,0.12358,0.086194,0.038576,0.0,30.0
30:34:53,1701193140,2023-11-28T17:39:00,2023-11-28T19:39:00,1.001,1833.62,33.56,33.69,35.17,32.86,34.56,861.92,858.0,387.133331,34.18,0.9669,411,0,10.745,0.96802,3.57,31092,49,30.0,173.37,21.95,187.88,69.01,191.73,133.54,193.63,174.28,1168.97,676.62,1373.16,1152.75,1382.74,1359.38,1384.24,1407.5,1384.24,1407.5,0.58,0.0,360.3062,0.0,-1.987291,30.744808,1359.3,12.0,0.740674,0.7,808.4,41228.3,423,1130,-88.8,20693.6,-513,191,74.2,18217.8,-124,587,13873.8,1122649856.0,-45500,111641,3166.0,944297280.0,-69501,75468,4708.0,859124864.0,-33460,74278,0.0,100.0,0.0,0.0,0.0,0.0,55,0.234067,0.180424,0.085917,0.038746,0.0,30.0
30:35:23,1701193170,2023-11-28T17:39:30,2023-11-28T19:39:30,1.001,1834.12,33.47,33.63,35.05,32.86,34.38,862.12,858.08,386.433319,34.83,0.9672,411,0,10.744,0.96687,3.57,31078,49,30.0,183.91,445.8,237.54,3440.43,274.05,8487.33,292.0,11826.98,1141.07,9721.5,1407.45,18204.38,1459.55,26572.25,1470.01,28833.25,1470.01,28833.25,0.72,0.02,360.4126,0.0,-1.987291,30.744808,1359.3,12.0,0.93805,0.7,971.9,34862.4,594,1428,-107.2,29064.8,-557,260,39.5,23567.1,-213,458,-12255.2,1055688832.0,-92776,43356,-853.1,446061856.0,-31071,55326,-12580.8,615669888.0,-74016,38762,0.0,100.0,0.0,0.0,0.0,0.0,56,0.240136,0.046154,0.092083,0.039444,0.0,30.0
30:35:53,1701193200,2023-11-28T17:40:00,2023-11-28T19:40:00,0.999,1834.62,33.38,33.53,34.9,32.86,34.15,862.06,858.1,386.416656,34.38,0.9676,411,0,10.744,0.96594,3.57,31063,48,30.0,140.27,188.3,186.84,1066.59,219.48,2310.12,235.53,3095.66,855.7,2190.0,1066.24,7375.62,1112.18,11251.38,1121.48,12168.62,1121.48,12168.62,0.61,0.0,360.5183,0.0,-1.987838,30.744844,1360.9,12.0,0.915948,0.7,880.4,41434.4,585,1246,-149.1,34335.9,-445,378,90.2,27568.8,-132,430,-8550.8,1226879616.0,-69265,74515,1636.1,793386944.0,-53208,62475,-6118.1,848069120.0,-50531,69650,0.0,100.0,0.0,0.0,0.0,0.0,55,0.232232,0.10703,0.083996,0.038414,0.0,30.0
30:36:23,1701193230,2023-11-28T17:40:30,2023-11-28T19:40:30,0.998,1835.12,33.29,33.46,34.76,32.86,34.2,862.07,858.16,386.583344,34.92,0.9679,411,0,10.744,0.96433,3.57,31048,48,30.0,152.23,1708.24,223.81,10257.91,277.08,22587.9,303.26,30416.13,874.16,18452.44,1130.03,65298.0,1202.96,101762.12,1217.94,110465.75,1217.94,110465.75,0.81,0.02,360.6206,0.0,-1.98811,30.744839,1359.8,12.0,1.154958,0.7,858.9,47223.9,556,1338,-96.2,17693.8,-362,205,74.5,36727.2,-129,604,7598.7,917128000.0,-54145,75285,1556.3,793683456.0,-40416,83580,-128.1,585712704.0,-41632,48781,0.0,100.0,0.0,0.0,0.0,0.0,54,0.23123,0.164639,0.083743,0.038469,0.0,30.0
30:36:53,1701193260,2023-11-28T17:41:00,2023-11-28T19:41:00,0.996,1835.62,33.21,33.4,34.7,32.86,34.22,861.99,858.28,386.450012,34.59,0.9684,411,0,10.742,0.96364,3.57,31033,48,30.0,175.04,1823.15,277.04,10348.66,354.98,22433.86,393.3,30070.27,954.19,21238.81,1274.02,71394.75,1379.48,108935.62,1401.26,117821.25,1401.26,117821.25,0.66,0.02,360.7453,0.0,-1.988317,30.744795,1356.7,12.0,0.23644,0.7,843.2,32787.0,526,1115,-102.9,17459.7,-496,222,84.2,25539.1,-92,606,-6430.2,1229560704.0,-54643,87578,7787.8,969345664.0,-42551,91901,628.2,714396096.0,-48772,64198,0.0,100.0,0.0,0.0,0.0,0.0,50,0.23775,0.040141,0.089138,0.039407,0.0,30.0
30:37:23,1701193290,2023-11-28T17:41:30,2023-11-28T19:41:30,0.995,1836.12,33.16,33.34,34.62,32.86,34.22,862.07,858.1,385.283325,35.64,0.9681,411,0,10.741,0.96179,3.57,31018,48,30.0,108.97,8.59,122.64,8.76,128.91,11.44,132.0,13.9,722.98,463.41,857.25,576.31,868.25,551.5,870.25,546.56,870.25,546.56,0.62,0.0,360.8448,0.0,-1.988362,30.74477,1362.8,12.0,0.675396,0.6,887.0,10843.8,717,1086,-106.3,12492.2,-332,87,99.1,13887.3,-118,409,-3372.1,536806944.0,-46068,64610,824.0,392458304.0,-29706,68582,-2362.9,162998800.0,-32628,20965,0.0,100.0,0.0,0.0,0.0,0.0,18,0.239907,0.087902,0.092012,0.038484,0.0,30.0
30:37:53,1701193320,2023-11-28T17:42:00,2023-11-28T19:42:00,0.993,1836.61,33.11,33.29,34.56,32.86,34.2,862.03,858.14,386.133331,36.28,0.9682,410,0,10.752,0.9641,3.57,31003,48,30.0,135.14,39.64,148.71,31.3,153.63,34.19,156.04,40.29,905.36,2263.19,1067.47,2735.0,1077.41,2557.0,1079.1,2519.5,1079.1,2519.5,0.58,0.0,360.9124,0.0,-1.988414,30.744787,1363.0,12.0,0.153686,0.7,904.1,1955.9,745,1009,-284.8,20806.8,-583,69,-28.7,5210.0,-114,215,2223.3,520346080.0,-56078,63393,-837.7,128486144.0,-39051,32427,-1501.0,109647824.0,-36557,35656,0.0,100.0,0.0,0.0,0.0,0.0,0,0.229964,0.142193,0.083915,0.03845,0.0,30.0
30:38:23,1701193350,2023-11-28T17:42:30,2023-11-28T19:42:30,0.995,1837.11,33.06,33.24,34.51,32.86,34.09,862.04,858.17,387.933319,36.03,0.9685,410,0,10.753,0.96248,3.57,30988,48,30.0,139.81,21.12,148.56,27.67,149.16,31.54,149.46,33.6,950.33,918.56,1111.16,1300.38,1115.64,1339.88,1116.17,1347.0,1116.17,1347.0,0.57,0.0,360.9864,0.0,-1.988423,30.744741,1358.4,12.0,0.22102,0.8,868.1,6694.2,630,964,-189.2,17977.2,-383,204,85.7,17147.7,-63,419,-8330.1,441052608.0,-60751,19801,2363.3,202508304.0,-30205,38823,-5259.8,226969152.0,-49017,23712,0.0,100.0,0.0,0.0,0.0,0.0,0,0.230085,0.030251,0.083805,0.038465,0.0,30.0
30:38:53,1701193380,2023-11-28T17:43:00,2023-11-28T19:43:00,0.994,1837.61,33.05,33.23,34.47,32.86,34.16,862.08,858.14,386.733337,36.23,0.9685,409,0,10.763,0.9641,3.57,30973,48,30.0,125.57,55.7,133.34,67.8,133.8,72.71,134.03,75.21,853.78,2495.31,998.11,3473.0,1002.04,3539.75,1002.49,3551.62,1002.49,3551.62,0.56,0.0,361.0566,0.0,-1.988423,30.744741,1358.4,12.0,0.261112,0.8,922.4,670.3,874,959,-222.4,1523.2,-313,-179,-15.1,1590.9,-99,60,-1149.5,9664023.0,-8312,5433,477.4,13051727.0,-8461,8723,-1315.3,8177068.5,-12110,6125,0.0,100.0,0.0,0.0,0.0,0.0,0,0.239047,0.18548,0.092554,0.03848,0.0,30.0
30:39:23,1701193410,2023-11-28T17:43:30,2023-11-28T19:43:30,0.995,1838.11,33.08,33.21,34.51,32.28,34.15,862.08,858.1,388.049988,36.17,0.9683,408,0,10.775,0.96571,3.57,30959,48,30.0,119.29,570.68,126.23,634.98,126.3,632.31,126.33,631.0,812.26,26524.38,948.8,36139.06,952.05,36353.56,952.38,36371.56,952.38,36371.56,0.54,0.0,361.1212,0.0,-1.988413,30.744717,1364.4,12.0,0.142378,0.7,938.7,109.0,909,969,-190.1,577.0,-232,-107,-31.7,909.7,-111,32,-1495.0,161094576.0,-46418,30905,935.2,48653972.0,-22583,21463,-2602.0,67567664.0,-38885,21323,0.0,100.0,0.0,0.0,0.0,0.0,0,0.230465,0.084434,0.083841,0.038413,0.0,30.0
30:39:53,1701193440,2023-11-28T17:44:00,2023-11-28T19:44:00,0.998,1838.61,33.11,33.18,34.55,32.28,34.16,862.0,858.0,389.149994,36.43,0.968,408,0,10.774,0.96548,3.57,30944,48,30.0,156.79,63.25,165.87,69.59,165.93,68.63,165.96,68.16,1067.7,2954.0,1247.12,4014.0,1251.34,4030.88,1251.76,4031.12,1251.76,4031.12,0.53,0.0,361.194,0.0,-1.988417,30.74472,1369.4,12.0,0.142892,0.7,931.6,286.6,874,966,-262.7,2519.0,-364,-141,-64.7,833.3,-111,-12,381.3,52736836.0,-13571,29435,-1304.4,31512532.0,-19792,13273,226.2,16459415.0,-11112,11296,0.0,100.0,0.0,0.0,0.0,0.0,0,0.230544,0.134628,0.083606,0.038537,0.0,30.0
30:40:23,1701193470,2023-11-28T17:44:30,2023-11-28T19:44:30,0.997,1839.1,33.16,33.17,34.65,32.28,34.36,862.04,857.81,389.833344,36.57,0.9676,408,0,10.774,0.96502,3.57,30929,48,30.0,180.71,18.35,191.1,20.48,191.11,20.48,191.12,20.47,1230.71,850.75,1437.41,1161.0,1442.2,1168.88,1442.67,1169.88,1442.67,1169.88,0.53,0.0,361.2829,0.0,-1.988395,30.744766,1369.5,12.0,0.288868,0.6,918.7,3176.4,697,1022,-231.4,8035.8,-351,75,-34.1,11083.4,-111,364,-1573.5,290790848.0,-43846,42026,2157.3,84468448.0,-18497,30091,-3458.7,97912952.0,-31648,14568,0.0,100.0,0.0,0.0,0.0,0.0,0,0.235639,0.180422,0.088513,0.038518,0.0,30.0
30:40:53,1701193500,2023-11-28T17:45:00,2023-11-28T19:45:00,0.997,1839.6,33.23,33.19,34.75,32.28,34.36,862.16,857.78,390.483337,36.58,0.9673,408,0,10.774,0.96456,3.57,30914,48,30.0,188.86,46.31,199.84,50.48,199.95,49.57,200.0,49.2,1285.9,2174.88,1502.06,2945.75,1507.2,2952.0,1507.72,2952.0,1507.72,2952.0,0.55,0.0,361.3803,0.0,-1.988377,30.744787,1359.3,12.0,0.70675,0.7,684.7,188937.7,-657,955,-69.5,39629.2,-271,422,108.5,35138.6,-110,409,2223.8,333496448.0,-48728,51756,-2565.3,735924544.0,-101141,51301,-5042.5,157496480.0,-36067,19381,6.7,93.3,0.0,0.0,0.0,0.0,0,0.232019,0.072532,0.083833,0.039361,0.0,30.0
30:41:23,1701193530,2023-11-28T17:45:30,2023-11-28T19:45:30,0.998,1840.1,33.21,33.22,34.8,32.28,34.4,862.12,857.88,392.049988,36.63,0.9675,408,0,10.773,0.96456,3.57,30899,48,30.0,132.13,766.01,143.43,913.45,146.58,965.47,148.13,992.32,890.26,34640.62,1046.2,47943.75,1053.77,48712.12,1054.97,48838.62,1054.97,48838.62,0.6,0.0,361.4658,0.0,-1.988382,30.744753,1359.9,12.0,0.004626,0.6,671.3,4339.0,448,754,64.3,798.6,-37,98,301.3,1660.8,222,429,586.1,1919478.6,-1155,5687,-667.2,15235429.0,-16458,4165,-1504.1,7591190.0,-13982,1890,0.0,96.7,0.0,0.0,0.0,3.3,0,0.240383,0.134328,0.091901,0.03947,0.0,30.0
30:41:53,1701193560,2023-11-28T17:46:00,2023-11-28T19:46:00,0.997,1840.6,33.2,33.17,34.77,32.28,34.21,861.97,857.95,390.166656,39.92,0.9669,408,0,10.773,0.96225,3.57,30884,48,30.0,82.39,4.37,87.79,5.02,88.36,5.16,88.64,5.25,559.36,201.16,654.46,275.5,657.38,278.22,657.74,278.62,657.74,278.62,0.59,0.0,361.5233,0.0,-1.988371,30.744759,1361.9,12.0,0.099716,0.7,622.7,155.7,602,655,65.9,200.3,10,80,334.0,106.8,296,346,-265.6,5048196.0,-11567,3193,952.4,59489344.0,-16555,37791,-1257.7,4984116.0,-6615,7542,0.0,100.0,0.0,0.0,0.0,0.0,0,0.230352,0.111601,0.083721,0.039401,0.0,30.0
30:42:23,1701193590,2023-11-28T17:46:30,2023-11-28T19:46:30,0.995,1841.1,33.18,33.2,34.72,32.28,34.17,862.08,857.91,394.149994,41.55,0.9666,408,0,10.774,0.96225,3.57,30869,48,30.0,59.0,118.83,63.17,138.24,63.83,142.9,64.15,145.23,399.79,5424.67,468.27,7467.78,470.69,7561.33,471.02,7575.42,471.02,7575.42,0.58,0.0,361.5609,0.0,-1.988321,30.744881,1359.6,12.0,0.340268,0.7,641.2,73.1,626,651,71.6,17.2,62,89,325.6,22.8,315,337,-20.6,83397.8,-323,997,186.4,85901.2,-796,743,-1136.2,114412.1,-2493,-577,0.0,100.0,0.0,0.0,0.0,0.0,0,0.288869,0.124707,0.083933,0.038517,0.0,30.0
30:42:53,1701193620,2023-11-28T17:47:00,2023-11-28T19:47:00,0.995,1841.59,33.2,33.21,34.71,32.28,34.1,862.08,857.88,395.266663,42.19,0.9663,408,0,10.773,0.96202,3.57,30854,48,29.0,44.38,3.37,47.01,3.81,47.08,3.85,47.12,3.87,302.06,155.77,352.93,212.91,354.19,214.64,354.33,214.84,354.33,214.84,0.55,0.0,361.5884,0.0,-1.98824,30.745008,1363.3,12.0,0.49858,0.7,646.8,3.2,639,649,73.8,2.5,69,78,324.3,5.1,320,328,-81.5,15598.4,-385,218,207.1,24176.7,-43,603,-1035.9,5257.2,-1172,-770,0.0,100.0,0.0,0.0,0.0,0.0,0,0.319681,0.099919,0.083646,0.039417,0.0,30.0
30:43:23,1701193650,2023-11-28T17:47:30,2023-11-28T19:47:30,0.994,1842.09,33.23,33.23,34.73,32.28,34.09,862.13,857.88,395.083344,42.26,0.9662,407,0,10.787,0.9641,3.57,30839,48,30.0,47.17,2.4,50.05,2.92,50.2,3.14,50.27,3.25,320.84,107.16,375.01,149.28,376.45,152.23,376.61,152.77,376.61,152.77,0.57,0.0,361.6125,0.0,-1.988245,30.744991,1364.8,12.0,0.399892,0.6,707.0,1299.5,648,805,48.9,374.3,-19,74,283.0,752.6,210,326,-239.0,467641.4,-2703,1802,553.1,12829765.0,-10246,12565,-961.0,1069201.5,-4996,1977,0.0,100.0,0.0,0.0,0.0,0.0,0,0.236183,0.162282,0.091954,0.039422,0.0,30.0
30:43:53,1701193680,2023-11-28T17:48:00,2023-11-28T19:48:00,0.999,1842.59,33.26,33.26,34.74,32.28,34.08,862.05,857.9,396.316681,42.38,0.9661,407,0,10.785,0.9641,3.57,30824,48,30.0,43.99,6.48,46.55,7.43,46.57,7.58,46.58,7.66,299.53,297.89,349.88,408.62,351.07,412.78,351.19,413.37,351.19,413.37,0.55,0.0,361.6366,0.0,-1.988245,30.744991,1364.8,12.0,0.729366,0.6,684.2,19.7,667,690,62.0,57.3,53,87,298.8,10.5,293,312,-108.0,74773.8,-630,708,271.3,112154.0,-428,1163,-910.5,163867.4,-1645,507,0.0,100.0,0.0,0.0,0.0,0.0,0,0.22828,0.026176,0.083752,0.038535,0.0,30.0
30:44:23,1701193710,2023-11-28T17:48:30,2023-11-28T19:48:30,0.999,1843.09,33.31,33.29,34.79,32.28,34.32,862.11,857.9,397.366669,41.52,0.9661,407,0,10.785,0.96733,3.57,30809,48,30.0,35.42,1.12,37.46,1.25,37.47,1.24,37.47,1.24,241.24,52.14,281.76,71.05,282.7,71.44,282.8,71.45,282.8,71.45,0.55,0.0,361.6575,0.0,-1.988296,30.744926,1360.3,12.0,0.150602,0.7,684.2,322.8,604,713,58.5,881.8,-47,87,299.2,144.9,285,349,-48.7,1801312.4,-4532,4803,512.6,16138248.0,-3806,20973,-734.1,2597914.5,-5643,5092,0.0,100.0,0.0,0.0,0.0,0.0,0,0.228387,0.085034,0.083737,0.039428,0.0,30.0
30:44:53,1701193740,2023-11-28T17:49:00,2023-11-28T19:49:00,1.002,1843.59,33.32,33.33,34.85,32.28,34.29,862.05,858.0,394.566681,39.52,0.9666,407,0,10.785,0.9671,3.56,30794,48,30.0,51.97,295.79,55.36,327.8,55.7,325.35,55.87,324.17,352.92,13770.78,412.88,18744.64,414.7,18844.55,414.93,18851.47,414.93,18851.47,0.59,0.0,361.6808,0.0,-1.988296,30.744926,1360.3,12.0,0.65021,0.7,635.7,609.3,525,679,63.5,1038.6,-77,91,330.2,186.4,302,388,135.8,1153669.6,-1163,3963,-619.0,26888248.0,-20168,11646,-1231.4,4748729.0,-12276,1023,0.0,100.0,0.0,0.0,0.0,0.0,0,0.228645,0.126322,0.083708,0.039505,0.0,30.0
30:45:23,1701193770,2023-11-28T17:49:30,2023-11-28T19:49:30,1.0,1844.09,33.36,33.35,34.83,32.28,34.2,862.07,857.81,394.549988,38.08,0.9666,407,0,10.786,0.9671,3.57,30779,48,30.0,57.68,6.38,61.34,5.73,61.63,4.76,61.77,4.35,391.98,322.33,458.4,418.66,460.3,408.52,460.53,406.09,460.53,406.09,0.55,0.0,361.71,0.0,-1.988416,30.744709,1353.1,12.0,0.144948,0.7,625.0,162.1,609,666,56.5,67.0,44,74,336.3,65.0,319,348,-227.6,340244.4,-1688,1058,591.7,3045021.2,-2310,7245,-1046.7,251566.0,-2170,43,0.0,100.0,0.0,0.0,0.0,0.0,0,0.229706,0.190848,0.083702,0.039386,0.0,30.0
