(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
23:18:09,1697010630,2023-10-11T07:50:30,2023-10-11T09:50:30,0.998,1398.23,32.55,35.22,34.05,34.04,34.3,870.7,873.31,112.199997,38.96,0.987,702,0,8.898,0.98564,4.0,48443,89,30.0,7.88,0.12,8.33,0.14,8.33,0.14,8.33,0.14,53.93,5.8,62.7,7.84,62.87,7.88,62.89,7.89,62.89,7.89,0.55,0.0,45.6523,0.0,-1.966586,30.761681,1339.4,12.0,0.027756,0.7,842.5,727.6,752,885,-502.3,1624.9,-613,-398,-233.9,4859.5,-327,53,874.0,83066816.0,-35008,12302,-65.8,66331172.0,-11191,35621,-4049.7,19696622.0,-16371,2231,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217039,0.139489,0.076089,0.03852,0.0,30.0
23:18:39,1697010660,2023-10-11T07:51:00,2023-10-11T09:51:00,0.995,1398.73,32.53,35.22,34.01,34.04,34.41,870.67,873.36,113.050003,38.85,0.9871,702,0,8.896,0.9832,4.0,48430,89,30.0,7.75,0.09,8.2,0.1,8.2,0.1,8.2,0.1,53.08,4.34,61.72,5.87,61.89,5.9,61.91,5.91,61.91,5.91,0.54,0.0,45.6564,0.0,-1.966589,30.761694,1346.9,12.0,0.25186,0.7,886.5,1662.7,775,957,-418.3,7954.9,-633,-280,-214.8,4946.3,-315,-69,-285.4,110608352.0,-49700,19705,22.1,23428488.0,-19521,10771,-4147.5,6356434.0,-12512,2301,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21712,0.18674,0.075922,0.038592,0.0,30.0
23:19:09,1697010690,2023-10-11T07:51:30,2023-10-11T09:51:30,0.995,1399.22,32.51,35.21,33.99,34.04,34.34,870.65,873.31,112.76667,39.55,0.987,702,0,8.897,0.98523,4.0,48416,89,30.0,7.36,0.04,7.78,0.04,7.78,0.04,7.78,0.04,50.36,1.83,58.55,2.47,58.71,2.48,58.73,2.48,58.73,2.48,0.55,0.0,45.6604,0.0,-1.966562,30.761683,1336.1,12.0,0.076072,0.7,895.5,1847.5,852,1061,-407.5,5044.2,-508,-234,-171.3,6910.7,-283,18,684.9,61036492.0,-27833,12652,-606.5,57982736.0,-22032,27877,-2230.7,8941412.0,-10972,5503,0.0,100.0,0.0,0.0,0.0,0.0,0,0.218867,0.058782,0.077459,0.038586,0.0,30.0
23:19:39,1697010720,2023-10-11T07:52:00,2023-10-11T09:52:00,0.997,1399.72,32.5,35.25,33.94,34.04,34.18,870.78,873.44,112.783333,39.96,0.9871,702,0,8.897,0.98605,3.99,48403,89,30.0,7.86,0.01,8.31,0.02,8.31,0.02,8.31,0.02,53.8,0.7,62.56,0.95,62.73,0.95,62.75,0.95,62.75,0.95,0.54,0.0,45.6644,0.0,-1.966562,30.761683,1336.1,12.0,0.024672,0.7,908.6,1548.4,810,998,-346.7,19056.9,-567,49,-262.4,7777.5,-448,-62,1840.1,342866944.0,-53523,56490,1680.3,107961360.0,-22837,38465,-1735.8,104136600.0,-25445,27501,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220733,0.09941,0.079214,0.038527,0.0,30.0
23:20:09,1697010750,2023-10-11T07:52:30,2023-10-11T09:52:30,0.997,1400.22,32.5,35.23,33.97,34.04,34.15,870.67,873.39,112.216667,39.4,0.9872,702,0,8.896,0.98442,3.99,48389,89,30.0,8.13,0.05,8.6,0.05,8.6,0.05,8.6,0.05,55.67,2.13,64.72,2.87,64.9,2.89,64.92,2.89,64.92,2.89,0.53,0.0,45.6686,0.0,-1.966561,30.761677,1334.1,12.0,0.046774,0.7,866.8,1548.2,776,948,-452.2,7047.1,-549,-127,-262.1,5572.8,-375,-107,1688.7,149722768.0,-23266,33328,-2768.1,72649336.0,-23940,13921,-3132.6,56380048.0,-20510,16511,0.0,100.0,0.0,0.0,0.0,0.0,0,0.216768,0.118051,0.076054,0.038488,0.0,30.0
23:20:39,1697010780,2023-10-11T07:53:00,2023-10-11T09:53:00,0.998,1400.72,32.51,35.31,33.99,34.04,34.37,870.74,873.51,111.949997,39.85,0.9872,702,0,8.897,0.98483,3.99,48376,89,30.0,8.5,0.13,9.01,0.16,9.02,0.17,9.03,0.17,58.18,6.08,67.67,8.35,67.86,8.47,67.89,8.49,67.89,8.49,0.57,0.0,45.673,0.0,-1.966565,30.761692,1339.1,12.0,0.147518,0.7,868.5,662.4,802,895,-452.0,3292.0,-623,-283,-204.2,16740.6,-407,206,6405.6,700805760.0,-63411,85715,-2912.4,255210976.0,-58266,43793,-2527.0,45232348.0,-20536,18795,0.0,100.0,0.0,0.0,0.0,0.0,0,0.22629,0.18083,0.08444,0.039414,0.0,30.0
23:21:09,1697010810,2023-10-11T07:53:30,2023-10-11T09:53:30,0.999,1401.22,32.53,35.32,34.01,34.04,35.25,870.71,873.56,112.083336,39.5,0.9872,702,0,8.898,0.98523,3.99,48362,89,30.0,7.64,0.07,8.13,0.08,8.16,0.08,8.18,0.08,52.2,3.2,60.77,4.32,60.98,4.34,61.01,4.35,61.01,4.35,0.59,0.0,45.6773,0.0,-1.966565,30.761692,1339.1,12.0,0.104342,0.7,883.6,7481.9,623,1145,-444.4,13196.6,-782,-203,-214.9,3900.4,-277,23,13531.4,1120628480.0,-52316,116217,-5623.3,441406816.0,-69326,30126,-1559.6,91106416.0,-23143,28070,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217197,0.03398,0.07609,0.038511,0.0,30.0
23:21:39,1697010840,2023-10-11T07:54:00,2023-10-11T09:54:00,0.998,1401.72,32.56,35.36,34.05,34.04,34.45,870.84,873.56,112.5,38.96,0.9872,702,0,8.897,0.98686,3.99,48349,89,30.0,8.2,0.09,8.77,0.1,8.86,0.1,8.9,0.1,55.88,4.09,65.16,5.51,65.44,5.54,65.48,5.54,65.48,5.54,0.6,0.0,45.6815,0.0,-1.966539,30.761692,1336.7,12.0,0.168078,0.7,867.1,2866.7,661,922,-440.4,5915.3,-621,-332,-198.6,9903.2,-426,104,-3596.4,202862160.0,-47495,21262,3959.3,140250176.0,-19836,38351,-5254.4,99248480.0,-46786,11550,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217323,0.095839,0.07602,0.038489,0.0,30.0
23:22:09,1697010870,2023-10-11T07:54:30,2023-10-11T09:54:30,0.999,1402.21,32.6,35.36,34.11,34.04,34.5,870.84,873.45,112.01667,39.28,0.9869,702,0,8.898,0.98543,3.99,48336,89,30.0,7.68,0.06,8.23,0.07,8.32,0.07,8.37,0.07,52.28,2.82,60.99,3.81,61.27,3.84,61.32,3.84,61.32,3.84,0.6,0.0,45.6857,0.0,-1.966576,30.761679,1341.5,12.0,0.08995,0.7,876.2,365.8,828,942,-451.2,1591.9,-522,-289,-238.8,2243.1,-341,-142,2530.4,131709352.0,-11200,61372,-779.3,44885444.0,-30388,5206,-3381.4,7008033.0,-12687,595,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217428,0.158845,0.075935,0.038482,0.0,30.0
23:22:39,1697010900,2023-10-11T07:55:00,2023-10-11T09:55:00,0.999,1402.71,32.61,35.39,34.13,34.04,34.26,870.92,873.56,112.099998,39.32,0.987,702,0,8.898,0.98605,3.99,48322,89,30.0,8.4,0.41,9.01,0.54,9.12,0.61,9.17,0.65,57.18,17.74,66.71,25.04,67.03,25.81,67.08,25.96,67.08,25.96,0.61,0.0,45.69,0.0,-1.966576,30.761679,1341.5,12.0,0.264196,0.7,848.6,16055.2,382,1025,-391.6,15053.2,-677,-57,-131.0,37581.2,-385,677,5967.1,1795413376.0,-149520,116375,-2940.3,890086336.0,-76221,117337,-2525.4,449187456.0,-97965,44065,0.0,96.7,0.0,0.0,0.0,3.3,0,0.217834,0.015672,0.076158,0.039442,0.0,30.0
23:23:09,1697010930,2023-10-11T07:55:30,2023-10-11T09:55:30,0.999,1403.21,32.64,35.42,34.17,34.04,34.47,870.81,873.58,113.050003,39.61,0.9868,702,0,8.898,0.98747,3.99,48309,89,30.0,15.36,13.24,18.23,23.71,19.91,33.64,20.74,39.32,99.84,504.09,119.73,771.42,122.18,832.9,122.66,845.68,122.66,845.68,0.71,0.0,45.6968,0.0,-1.966576,30.761679,1341.5,12.0,0.108454,0.7,861.4,921.6,749,971,-414.7,7324.7,-625,-254,-4.2,10333.4,-118,168,2198.9,60427956.0,-22863,33083,2946.6,229320992.0,-24885,74646,-3885.6,129032864.0,-59858,19005,0.0,100.0,0.0,0.0,0.0,0.0,0,0.231787,0.070242,0.089845,0.038525,0.0,30.0
23:23:39,1697010960,2023-10-11T07:56:00,2023-10-11T09:56:00,0.998,1403.71,32.66,35.4,34.21,34.04,34.51,870.84,873.53,112.883331,40.18,0.9866,702,0,8.897,0.98381,3.99,48295,89,30.0,20.39,24.32,30.91,58.99,38.84,99.99,42.74,124.88,114.69,810.24,150.51,1338.97,160.93,1516.62,163.04,1555.23,163.04,1555.23,0.83,0.0,45.7091,0.0,-1.966583,30.7617,1347.4,12.0,0.415826,0.8,866.3,3159.8,725,1026,-350.7,10346.7,-622,-194,29.5,26774.6,-537,194,8318.7,872268608.0,-44843,144978,-4546.6,287534016.0,-76203,18663,1039.9,146533712.0,-16852,42638,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220266,0.130973,0.076162,0.039463,0.0,30.0
23:24:09,1697010990,2023-10-11T07:56:30,2023-10-11T09:56:30,1.002,1404.21,32.67,35.52,34.21,34.04,34.52,870.95,873.73,113.083336,40.0,0.9868,702,0,8.898,0.98625,3.99,48282,89,30.0,37.58,437.95,70.88,1931.15,97.29,3911.97,110.27,5140.97,174.38,7472.33,259.92,19453.8,293.97,26539.44,300.92,28129.89,300.92,28129.89,0.97,0.01,45.7345,0.0,-1.966578,30.761702,1344.8,12.0,0.067848,0.8,892.1,5062.6,592,995,-273.2,20430.0,-517,133,-28.6,49348.3,-529,592,3865.3,575906432.0,-41632,77253,-4621.4,479604864.0,-61731,50146,-2276.4,173947856.0,-45342,32961,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220378,0.177437,0.07612,0.038455,0.0,30.0
23:24:39,1697011020,2023-10-11T07:57:00,2023-10-11T09:57:00,1.002,1404.71,32.7,35.53,34.24,34.04,34.52,870.68,873.7,112.383331,39.91,0.9867,702,0,8.898,0.98605,3.99,48269,88,30.0,44.02,129.98,105.08,847.81,154.71,1907.92,179.1,2585.34,145.63,1200.72,276.75,4862.07,340.17,7707.5,353.16,8376.4,353.16,8376.4,1.21,0.0,45.7786,0.0,-1.966579,30.761717,1341.8,12.0,0.086352,0.9,888.5,2149.2,758,982,-340.8,10172.1,-566,-25,-73.5,39740.1,-557,392,159.4,165639136.0,-34895,24403,-1505.0,561088256.0,-52981,103818,-560.0,336502464.0,-54713,63787,0.0,100.0,0.0,0.0,0.0,0.0,0,0.222948,0.056612,0.076463,0.03848,0.0,30.0
23:25:09,1697011050,2023-10-11T07:57:30,2023-10-11T09:57:30,1.001,1405.21,32.71,35.59,34.22,34.04,34.86,870.92,873.64,112.300003,39.93,0.9865,702,0,8.9,0.98462,3.99,48255,88,30.0,29.49,86.65,72.04,607.79,106.68,1384.77,123.7,1882.39,93.2,596.02,183.34,3078.42,227.58,5108.81,236.64,5588.54,236.64,5588.54,1.14,0.0,45.8229,0.0,-1.966587,30.761717,1344.1,12.0,0.329474,0.7,892.1,1440.3,822,958,-270.6,6348.6,-436,-135,30.3,17279.7,-352,229,1652.4,83945216.0,-36365,13623,716.3,129738248.0,-26608,41090,-4001.8,57242832.0,-30380,16476,0.0,100.0,0.0,0.0,0.0,0.0,0,0.232847,0.117186,0.086184,0.039459,0.0,30.0
23:25:39,1697011080,2023-10-11T07:58:00,2023-10-11T09:58:00,1.001,1405.71,32.74,35.62,34.29,34.04,35.12,870.67,873.74,113.283333,40.02,0.9865,702,0,8.901,0.98523,3.99,48242,88,30.0,21.0,11.41,45.97,55.86,66.12,116.46,76.02,154.34,80.54,165.62,137.26,484.6,163.08,687.58,168.36,733.6,168.36,733.6,1.08,0.0,45.8525,0.0,-1.966623,30.761694,1350.1,12.0,0.070418,0.7,921.7,2927.6,758,986,-186.3,7011.3,-328,78,-8.9,29475.7,-447,382,1040.7,346587360.0,-54433,57925,2568.4,219238992.0,-34317,45832,-1728.8,45402436.0,-10342,25270,0.0,100.0,0.0,0.0,0.0,0.0,0,0.224421,0.165663,0.0794,0.038619,0.0,30.0
23:26:09,1697011110,2023-10-11T07:58:30,2023-10-11T09:58:30,1.0,1406.21,32.75,35.7,34.28,34.04,34.57,870.76,873.87,112.683334,39.89,0.9867,702,0,8.901,0.98543,3.99,48228,88,30.0,64.51,2322.96,162.27,16938.81,242.01,38932.99,281.21,53053.7,191.4,14464.39,395.15,80789.06,496.93,136621.53,517.79,149883.31,517.79,149883.31,1.25,0.01,45.9046,0.0,-1.966623,30.761694,1350.1,12.0,0.12336,0.7,803.3,27942.4,418,1298,-205.1,40445.0,-594,112,166.0,52657.4,-283,605,19745.2,1491738240.0,-24928,123663,-2261.5,1152821120.0,-104081,94272,39.8,278874048.0,-36400,54993,0.0,96.7,0.0,0.0,0.0,3.3,16,0.22125,0.031894,0.076183,0.03946,0.0,30.0
23:26:39,1697011140,2023-10-11T07:59:00,2023-10-11T09:59:00,1.0,1406.72,32.77,35.74,34.29,34.04,35.02,870.95,873.84,114.01667,42.03,0.9861,702,0,8.901,0.99011,3.99,48215,88,30.0,52.31,783.65,148.48,6401.43,227.47,15071.49,266.29,20674.41,110.25,3404.15,299.17,25459.09,399.74,45730.16,420.37,50621.94,420.37,50621.94,1.42,0.0,45.9824,0.0,-1.966619,30.761663,1336.3,12.0,0.481104,0.8,696.7,11889.8,552,1002,-27.6,5405.2,-207,89,392.1,38483.1,-233,564,3034.7,127369824.0,-19180,37266,3401.3,149387600.0,-12005,52465,-3930.3,31133588.0,-17290,11567,0.0,100.0,0.0,0.0,0.0,0.0,0,0.223377,0.094348,0.07616,0.038406,0.0,30.0
23:27:09,1697011170,2023-10-11T07:59:30,2023-10-11T09:59:30,1.0,1407.22,32.79,35.8,34.33,34.04,34.65,870.77,873.91,114.366669,40.57,0.9864,702,0,8.901,0.98584,3.99,48201,88,30.0,23.3,2.34,66.19,19.2,101.4,46.14,118.72,63.7,49.02,23.13,133.23,81.56,178.07,137.01,187.27,150.74,187.27,150.74,1.37,0.0,46.0363,0.0,-1.966542,30.761724,1333.0,12.0,0.15677,0.8,846.7,10547.1,651,1027,-133.8,19106.1,-453,192,158.1,53530.0,-376,480,5125.0,447673984.0,-45622,40433,-504.7,206700992.0,-39812,20028,-1085.2,83362824.0,-25331,21000,0.0,100.0,0.0,0.0,0.0,0.0,0,0.232103,0.147999,0.084572,0.039516,0.0,30.0
23:27:39,1697011200,2023-10-11T08:00:00,2023-10-11T10:00:00,1.003,1407.72,32.79,35.83,34.31,34.04,35.24,870.88,873.98,113.650002,39.83,0.9867,702,0,8.904,0.9895,3.99,48188,88,30.0,34.24,288.6,89.09,1890.09,133.92,4239.33,155.96,5737.44,93.7,2361.85,206.0,10644.33,263.18,17091.53,274.9,18601.45,274.9,18601.45,1.26,0.0,46.0752,0.0,-1.96656,30.761702,1340.3,12.0,0.312512,0.8,851.7,5494.4,678,977,-185.6,40152.4,-543,237,103.1,47656.7,-273,400,1908.6,104820920.0,-23966,26215,2307.5,157967088.0,-30502,34098,-3483.4,73051824.0,-24902,15828,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220744,0.029135,0.076066,0.038469,0.0,30.0
23:28:09,1697011230,2023-10-11T08:00:30,2023-10-11T10:00:30,1.002,1408.22,32.81,35.92,34.35,34.04,34.43,870.76,874.03,112.650002,39.23,0.9868,702,0,8.904,0.9893,3.99,48174,88,30.0,170.74,22228.32,481.81,184289.92,737.21,435137.0,862.76,597363.75,367.51,90493.83,980.16,714959.81,1305.38,1295718.38,1372.1,1436142.12,1372.1,1436142.12,1.41,0.0,46.2184,0.0,-1.966581,30.761715,1336.7,12.0,0.04112,0.8,808.5,12761.1,586,919,-234.0,16478.9,-451,43,197.9,44954.2,-169,574,822.7,104929632.0,-28008,20361,915.3,174657744.0,-36583,35638,-3197.5,49265224.0,-27553,15890,0.0,100.0,0.0,0.0,0.0,0.0,0,0.221167,0.047648,0.076167,0.038577,0.0,30.0
23:28:39,1697011260,2023-10-11T08:01:00,2023-10-11T10:01:00,1.0,1408.72,32.8,35.97,34.35,34.04,34.61,870.97,874.24,113.98333,38.64,0.9872,702,0,8.904,0.98909,3.99,48161,88,30.0,41.3,151.55,116.42,1195.86,178.09,2798.31,208.4,3832.38,89.25,785.97,237.26,5050.69,315.8,8868.33,331.91,9786.11,331.91,9786.11,1.34,0.0,46.3684,0.0,-1.966572,30.761713,1335.3,12.0,0.007196,0.9,800.9,14469.6,610,947,-258.5,43888.3,-666,60,88.9,91676.1,-303,617,2930.3,111607872.0,-19250,34055,447.0,348168672.0,-76483,34527,-3595.5,145515488.0,-44572,25698,0.0,100.0,0.0,0.0,0.0,0.0,0,0.224152,0.083639,0.076043,0.039465,0.0,30.0
23:29:09,1697011290,2023-10-11T08:01:30,2023-10-11T10:01:30,1.002,1409.22,32.8,36.03,34.32,34.04,34.6,870.96,874.18,112.116669,39.4,0.9869,702,0,8.905,0.9895,3.99,48147,88,30.0,32.93,170.07,86.22,1294.9,129.79,3007.74,151.21,4110.89,88.75,987.04,197.51,5792.63,253.07,9976.8,264.46,10977.88,264.46,10977.88,1.23,0.0,46.4192,0.0,-1.966526,30.761724,1331.3,12.0,0.392182,0.9,921.9,5247.2,667,1060,-359.4,40120.8,-990,-18,-150.5,6907.3,-328,45,8839.1,935670848.0,-38508,127785,-2819.1,487832544.0,-58913,49271,-1810.9,125346472.0,-20886,32812,0.0,100.0,0.0,0.0,0.0,0.0,0,0.230634,0.137343,0.084385,0.038412,0.0,30.0
23:29:39,1697011320,2023-10-11T08:02:00,2023-10-11T10:02:00,1.003,1409.72,32.82,36.03,34.34,34.04,34.63,870.77,874.26,112.616669,39.47,0.9869,702,0,8.906,0.98909,3.99,48134,88,30.0,20.31,10.39,48.46,85.43,71.34,201.59,82.58,276.71,67.28,46.71,127.75,337.19,156.98,605.96,162.97,670.96,162.97,670.96,1.13,0.0,46.453,0.0,-1.966528,30.761711,1334.6,12.0,0.168592,0.9,916.9,418.8,876,963,-348.4,3020.0,-441,-228,-127.8,5475.8,-343,26,-1456.0,100071552.0,-28096,17806,492.7,73163456.0,-16056,17990,-4091.9,35336224.0,-17911,6072,0.0,100.0,0.0,0.0,0.0,0.0,0,0.221517,0.031184,0.076125,0.039362,0.0,30.0
23:30:09,1697011350,2023-10-11T08:02:30,2023-10-11T10:02:30,1.003,1410.23,32.8,36.07,34.31,34.62,34.9,870.93,874.3,113.099998,40.72,0.9868,702,0,8.907,0.99215,3.99,48120,88,30.0,24.82,48.57,55.63,250.26,80.54,528.39,92.78,702.79,91.74,638.9,160.59,2012.0,192.48,2917.47,199.01,3123.64,199.01,3123.64,1.1,0.0,46.4791,0.0,-1.966467,30.761761,1340.2,12.0,0.14135,0.8,913.2,1576.4,823,992,-286.3,19710.2,-492,29,-84.0,8754.4,-193,150,1985.3,69581208.0,-16730,22260,108.2,74958496.0,-19556,21621,-3475.1,87201312.0,-31132,15627,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220744,0.073185,0.076035,0.038501,0.0,30.0
23:30:39,1697011380,2023-10-11T08:03:00,2023-10-11T10:03:00,1.004,1410.73,32.78,36.07,34.28,34.62,34.71,870.82,874.28,112.816666,40.1,0.987,702,0,8.905,0.98605,3.99,48107,88,30.0,28.74,180.48,63.09,954.86,90.81,2030.41,104.43,2706.18,109.77,2270.91,187.63,7389.35,223.14,10825.86,230.41,11610.61,230.41,11610.61,1.08,0.0,46.5089,0.0,-1.966578,30.76169,1339.5,12.0,0.027242,0.7,877.5,2799.9,730,1054,-396.5,8883.5,-601,-67,-75.6,7787.0,-356,43,43.0,58970152.0,-24447,16073,1243.7,89218312.0,-12600,43032,-4305.4,107462032.0,-45771,11112,0.0,100.0,0.0,0.0,0.0,0.0,0,0.221004,0.144025,0.076006,0.038575,0.0,30.0
23:31:09,1697011410,2023-10-11T08:03:30,2023-10-11T10:03:30,1.002,1411.23,32.76,36.09,34.24,34.62,34.38,870.76,874.36,113.449997,39.27,0.9873,702,0,8.907,0.98909,3.99,48093,88,30.0,38.29,483.54,93.55,2714.93,138.53,5866.03,160.64,7854.98,121.01,5505.18,238.07,19277.73,295.52,28907.89,307.29,31122.64,307.29,31122.64,1.21,0.0,46.5481,0.0,-1.966616,30.761679,1345.2,12.0,0.452834,0.7,863.8,12742.2,537,1146,-301.8,56170.1,-689,249,-59.7,31056.9,-271,458,4847.8,2189078784.0,-89818,148688,-1442.3,958689536.0,-63183,92330,-2997.7,585190464.0,-82311,65520,0.0,100.0,0.0,0.0,0.0,0.0,12,0.231238,0.169795,0.086163,0.038447,0.0,30.0
23:31:39,1697011440,2023-10-11T08:04:00,2023-10-11T10:04:00,1.003,1411.73,32.71,36.07,34.15,34.62,34.33,870.93,874.46,113.199997,40.89,0.9873,702,0,8.907,0.98909,3.99,48080,88,30.0,34.03,1149.99,77.92,6166.7,113.46,13164.76,130.94,17567.04,121.45,14209.71,218.15,46829.76,263.64,68931.61,272.95,73987.82,272.95,73987.82,1.11,0.01,46.5911,0.0,-1.966552,30.761583,1333.4,12.0,1.17963,0.7,483.4,133452.8,-691,915,172.1,380502.0,-665,1247,-259.3,180467.1,-905,796,16341.7,4679874560.0,-133455,284576,-3786.2,1729978752.0,-82818,179453,-2797.8,513661888.0,-94657,50820,0.0,43.3,0.0,36.7,13.3,6.7,12,0.225881,0.05501,0.079499,0.038571,0.0,30.0
23:32:09,1697011470,2023-10-11T08:04:30,2023-10-11T10:04:30,1.002,1412.23,32.66,36.09,34.11,34.62,34.42,870.98,874.57,113.26667,40.62,0.9876,702,0,8.906,0.99011,3.99,48066,88,30.0,205.28,3855.66,569.6,31683.5,868.45,75027.81,1015.36,103110.12,467.66,21698.25,1190.66,127207.0,1571.34,225225.5,1649.42,249034.0,1649.42,249034.0,1.43,0.0,46.7534,0.0,-1.966552,30.761583,1333.4,12.0,0.70418,0.7,471.8,146417.9,-302,1119,75.8,374960.6,-827,1307,-242.6,230253.8,-932,894,23135.8,6804587008.0,-187941,211058,-14593.2,4641305600.0,-202623,167107,-7657.9,1957128192.0,-149913,67847,0.0,43.3,6.7,30.0,13.3,6.7,0,0.222522,0.096847,0.076027,0.038483,0.0,30.0
23:32:39,1697011500,2023-10-11T08:05:00,2023-10-11T10:05:00,0.998,1412.73,32.6,36.09,34.03,34.62,35.06,871.09,874.7,114.116669,41.12,0.9879,702,0,8.907,0.98767,3.99,48053,88,30.0,75.15,1715.33,213.21,14677.91,326.59,34869.41,382.33,47948.48,158.72,6052.31,429.97,54002.23,574.34,99753.25,603.96,110863.97,603.96,110863.97,1.34,0.0,46.9494,0.0,-1.966545,30.761652,1370.8,12.0,0.416854,0.8,423.5,14546.1,152,811,647.6,49630.6,-101,929,-603.7,72435.0,-874,577,3371.9,867098816.0,-79668,80255,1934.3,260351616.0,-36688,61521,-4223.9,382445280.0,-73666,54136,0.0,3.3,0.0,20.0,73.3,3.3,0,0.22483,0.163423,0.076127,0.038485,0.0,30.0
23:33:09,1697011530,2023-10-11T08:05:30,2023-10-11T10:05:30,1.002,1413.23,32.59,36.11,33.96,34.62,34.61,870.84,874.73,113.066666,40.86,0.988,702,0,8.905,0.98869,3.98,48039,88,30.0,28.99,77.71,73.17,450.08,109.21,980.61,126.93,1316.29,85.35,841.03,177.26,3055.92,223.26,4637.99,232.69,5003.3,232.69,5003.3,1.2,0.0,47.0211,0.0,-1.966541,30.761631,1368.1,12.0,0.396808,0.8,295.1,19335.6,-158,492,677.6,55778.5,246,1097,-585.4,92544.5,-938,144,835.1,2145757312.0,-201626,97842,737.3,215220032.0,-38053,52088,25.0,98826184.0,-22032,31386,0.0,0.0,0.0,60.0,40.0,0.0,0,0.231511,0.04579,0.08467,0.038444,0.0,30.0
23:33:39,1697011560,2023-10-11T08:06:00,2023-10-11T10:06:00,1.002,1413.73,32.62,36.1,33.98,34.62,34.54,871.03,874.76,113.083336,40.25,0.9881,702,0,8.908,0.98828,3.98,48026,88,30.0,24.95,27.13,59.48,176.74,87.53,395.85,101.32,535.52,82.82,224.07,157.01,1003.29,192.87,1607.46,200.21,1748.84,200.21,1748.84,1.14,0.0,47.0544,0.0,-1.96655,30.761621,1353.5,12.0,0.331016,0.8,305.8,11903.2,-69,473,548.2,209248.7,-1549,1022,-688.3,48469.9,-879,-79,12632.0,2137184512.0,-44738,245140,232.0,503977088.0,-88882,67200,4363.3,2138705280.0,-27352,250381,0.0,0.0,0.0,46.7,53.3,0.0,0,0.22227,0.100494,0.076214,0.039416,0.0,30.0
