(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
17:07:23,1669697880,2022-11-29T04:58:00,2022-11-29T06:58:00,0.999,1026.06,31.87,31.32,33.75,31.69,34.89,863.05,860.43,127.199997,36.39,0.9753,657,0,8.774,0.97552,4.05,49761,92,30,4.25,0.04,4.5,0.05,4.5,0.05,4.5,0.05,29.09,2.1,33.84,2.84,33.94,2.86,33.95,2.86,33.95,2.86,0.55,0.0,72.9401,0,-1.981101,30.747017,1371.7,10,0.188124,0.7,992.8,0.1,992,994,-98.2,0.6,-99,-97,51.3,55.7,41,63,354.3,4340.4,210,446,250.4,933.9,175,315,-861.9,284.5,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213696,0.089768,0.074164,0.039047,0.0,30.0
17:07:53,1669697910,2022-11-29T04:58:30,2022-11-29T06:58:30,0.999,1026.56,31.87,31.29,33.71,31.69,34.86,862.92,860.38,127.066666,36.32,0.9753,657,0,8.774,0.97363,4.05,49750,92,30,4.73,0.02,5.02,0.03,5.03,0.03,5.03,0.03,32.33,1.19,37.63,1.59,37.75,1.59,37.77,1.59,37.77,1.59,0.56,0.0,72.9425,0,-1.981082,30.747004,1376.6,11,0.435358,0.7,992.7,-0.1,992,993,-98.2,0.7,-99,-97,50.5,53.6,41,62,345.6,2776.6,245,455,247.8,1797.5,166,341,-861.3,214.7,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213266,0.144948,0.07444,0.038129,0.0,30.0
17:08:23,1669697940,2022-11-29T04:59:00,2022-11-29T06:59:00,1.0,1027.06,31.88,31.31,33.72,31.69,35.09,862.99,860.4,126.783333,36.21,0.9753,657,0,8.774,0.97363,4.05,49739,92,30,4.01,0.13,4.26,0.14,4.28,0.14,4.29,0.14,27.35,5.92,31.85,8.02,31.97,8.07,31.99,8.08,31.99,8.08,0.56,0.0,72.9448,0,-1.981082,30.747025,1375.9,11,0.185554,0.7,992.8,0.4,992,994,-98.0,0.8,-100,-97,51.2,57.4,40,62,356.0,2606.6,227,472,260.1,983.4,210,341,-858.7,208.8,-883,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.215005,0.019332,0.075086,0.039007,0.0,30.0
17:08:53,1669697970,2022-11-29T04:59:30,2022-11-29T06:59:30,1.0,1027.56,31.88,31.28,33.76,31.69,34.86,862.87,860.3,126.699997,36.15,0.9752,657,0,8.774,0.97514,4.05,49728,92,30,4.32,0.01,4.59,0.01,4.6,0.01,4.61,0.01,29.5,0.31,34.35,0.43,34.47,0.44,34.48,0.44,34.48,0.44,0.56,0.0,72.947,0,-1.981053,30.747011,1384.4,11,0.384472,0.7,992.6,0.2,991,994,-98.2,0.5,-99,-97,51.0,52.6,40,62,356.9,2612.2,253,446,244.1,1073.5,166,315,-867.1,357.3,-910,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.227424,0.076307,0.086992,0.039336,0.0,30.0
17:09:23,1669698000,2022-11-29T05:00:00,2022-11-29T07:00:00,0.998,1028.05,31.88,31.33,33.74,31.69,35.21,863.02,860.37,126.833336,35.43,0.9754,657,0,8.773,0.97439,4.05,49717,92,30,4.59,0.0,4.86,0.0,4.86,0.0,4.86,0.0,31.4,0.2,36.54,0.26,36.64,0.26,36.66,0.26,36.66,0.26,0.55,0.0,72.9493,0,-1.981054,30.74703,1373.2,11,0.232842,0.7,992.7,0.2,991,994,-98.3,0.8,-100,-97,51.3,59.5,40,62,336.2,5071.0,201,463,244.9,960.2,157,306,-860.6,277.4,-901,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214456,0.123895,0.074757,0.039415,0.0,30.0
17:09:53,1669698030,2022-11-29T05:00:30,2022-11-29T07:00:30,0.998,1028.55,31.88,31.29,33.72,31.69,34.76,862.92,860.43,126.76667,36.27,0.9753,657,0,8.773,0.97382,4.05,49706,92,30,4.59,0.01,4.86,0.01,4.86,0.01,4.86,0.01,31.41,0.58,36.55,0.79,36.65,0.8,36.67,0.8,36.67,0.8,0.55,0.0,72.9518,0,-1.981055,30.747036,1365.9,10,0.07196,0.7,992.7,0.2,992,994,-98.4,0.8,-100,-97,50.7,55.3,40,63,339.1,3939.1,218,498,248.2,934.1,183,306,-865.6,239.7,-901,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.212888,0.178859,0.074198,0.038199,0.0,30.0
17:10:23,1669698060,2022-11-29T05:01:00,2022-11-29T07:01:00,0.999,1029.05,31.88,31.26,33.74,31.69,34.87,862.85,860.36,127.183334,36.16,0.9752,657,0,8.774,0.97495,4.05,49695,92,30,4.7,0.01,4.97,0.01,4.97,0.01,4.97,0.01,32.15,0.59,37.4,0.8,37.5,0.8,37.52,0.8,37.52,0.8,0.54,0.0,72.9542,0,-1.981082,30.747086,1343.5,10,0.050372,0.7,992.7,0.2,991,994,-98.3,0.7,-100,-97,51.2,54.1,41,61,337.0,2693.4,201,411,248.4,921.0,192,297,-865.3,269.2,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.245328,0.066676,0.106456,0.038171,0.0,30.0
17:10:53,1669698090,2022-11-29T05:01:30,2022-11-29T07:01:30,0.999,1029.55,31.88,31.29,33.76,31.69,34.95,863.02,860.43,126.75,36.0,0.9753,657,0,8.774,0.9759,4.05,49684,92,30,4.2,0.02,4.44,0.02,4.44,0.02,4.44,0.02,28.71,0.95,33.4,1.29,33.49,1.29,33.51,1.29,33.51,1.29,0.54,0.0,72.9566,0,-1.981064,30.747038,1346.4,10,0.173732,0.8,992.8,0.2,992,994,-98.3,0.6,-99,-97,51.7,56.3,42,62,352.1,3188.6,253,472,251.6,1346.8,166,332,-863.6,357.6,-901,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213012,0.127642,0.074014,0.038088,0.0,30.0
17:11:23,1669698120,2022-11-29T05:02:00,2022-11-29T07:02:00,1.0,1030.05,31.88,31.31,33.73,31.69,34.79,863.07,860.51,127.150002,36.24,0.9754,657,0,8.774,0.97514,4.04,49673,92,30,3.43,0.06,3.63,0.07,3.63,0.07,3.63,0.07,23.47,3.01,27.3,4.08,27.38,4.1,27.39,4.1,27.39,4.1,0.55,0.0,72.9586,0,-1.981055,30.747021,1351.5,10,0.14649,0.8,992.6,0.5,991,994,-98.5,0.7,-100,-97,51.0,57.3,40,62,344.2,2524.5,271,472,248.8,761.4,201,332,-860.0,229.9,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214215,0.160271,0.074193,0.038963,0.0,30.0
17:11:53,1669698150,2022-11-29T05:02:30,2022-11-29T07:02:30,1.0,1030.55,31.88,31.31,33.75,31.69,34.83,863.05,860.43,126.949997,36.27,0.9753,657,0,8.774,0.97439,4.04,49662,92,30,3.35,0.03,3.54,0.03,3.54,0.03,3.54,0.03,22.89,1.21,26.63,1.65,26.71,1.67,26.72,1.67,26.72,1.67,0.55,0.0,72.9604,0,-1.981064,30.747005,1357.6,10,0.161396,0.7,992.7,0.3,991,994,-98.4,0.6,-100,-97,50.6,53.0,40,62,338.2,1043.4,262,402,260.2,1364.8,192,323,-867.4,295.6,-892,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.212437,0.049517,0.07412,0.038027,0.0,30.0
17:12:23,1669698180,2022-11-29T05:03:00,2022-11-29T07:03:00,1.0,1031.05,31.89,31.28,33.74,31.69,34.95,862.92,860.43,126.833336,36.22,0.9753,657,0,8.775,0.97363,4.04,49651,92,30,4.4,0.06,4.65,0.06,4.65,0.06,4.65,0.06,30.09,2.61,35.0,3.53,35.1,3.54,35.12,3.54,35.12,3.54,0.53,0.0,72.9624,0,-1.981064,30.747005,1357.6,10,0.051914,0.7,992.7,0.1,991,994,-98.3,0.6,-100,-97,51.4,57.3,41,61,336.5,2915.2,183,428,247.6,1370.0,183,315,-858.9,316.2,-910,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213625,0.085666,0.074153,0.038961,0.0,30.0
17:12:53,1669698210,2022-11-29T05:03:30,2022-11-29T07:03:30,1.001,1031.55,31.9,31.29,33.74,31.69,34.79,863.02,860.46,126.73333,36.2,0.9753,657,0,8.775,0.97628,4.04,49640,92,30,4.03,0.11,4.26,0.12,4.26,0.12,4.26,0.12,27.54,5.02,32.03,6.79,32.12,6.83,32.14,6.83,32.14,6.83,0.54,0.0,72.9647,0,-1.981064,30.747005,1357.6,10,0.059624,0.7,992.5,0.1,991,994,-98.3,0.6,-100,-97,50.6,58.4,40,62,346.1,2605.2,218,472,250.1,1142.8,183,323,-857.2,216.7,-883,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.221078,0.138327,0.082373,0.037989,0.0,30.0
17:13:23,1669698240,2022-11-29T05:04:00,2022-11-29T07:04:00,1.0,1032.05,31.89,31.32,33.78,31.69,34.89,863.05,860.4,127.26667,36.25,0.9752,657,0,8.774,0.97647,4.04,49629,92,30,3.83,0.01,4.05,0.01,4.05,0.01,4.05,0.01,26.22,0.36,30.5,0.48,30.58,0.49,30.59,0.49,30.59,0.49,0.54,0.0,72.9667,0,-1.981039,30.747004,1378.5,12,0.18247,0.7,992.4,0.3,991,994,-98.6,0.5,-100,-97,51.6,58.4,41,62,345.0,3335.6,245,455,257.7,1203.0,166,332,-859.7,303.8,-883,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.212958,0.14659,0.074031,0.038042,0.0,30.0
17:13:53,1669698270,2022-11-29T05:04:30,2022-11-29T07:04:30,1.0,1032.55,31.89,31.28,33.76,31.69,34.88,863.03,860.41,127.433334,36.18,0.9752,657,0,8.775,0.97533,4.04,49618,92,30,4.25,0.03,4.49,0.04,4.49,0.04,4.49,0.04,29.06,1.47,33.8,1.99,33.9,2.0,33.91,2.0,33.91,2.0,0.55,0.0,72.9689,0,-1.981,30.747051,1373.6,12,0.12079,0.7,993.0,0.1,992,994,-98.1,0.4,-99,-97,49.7,52.3,40,62,352.5,2453.6,227,446,260.6,1287.9,192,367,-863.5,228.6,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213124,0.028136,0.074066,0.037988,0.0,30.0
17:14:23,1669698300,2022-11-29T05:05:00,2022-11-29T07:05:00,1.001,1033.05,31.89,31.32,33.73,31.69,34.82,863.1,860.51,126.866669,36.13,0.9754,657,0,8.775,0.9742,4.04,49606,92,30,4.28,0.09,4.53,0.1,4.53,0.1,4.53,0.1,29.3,4.16,34.08,5.63,34.18,5.67,34.19,5.67,34.19,5.67,0.54,0.0,72.9711,0,-1.980925,30.747078,1372.6,12,0.53199,0.7,992.7,0.1,992,994,-98.7,0.7,-101,-97,52.5,51.6,40,62,332.7,2890.9,218,446,250.4,687.8,183,306,-862.1,411.9,-910,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213483,0.097503,0.074122,0.039071,0.0,30.0
17:14:53,1669698330,2022-11-29T05:05:30,2022-11-29T07:05:30,1.0,1033.55,31.9,31.27,33.74,31.69,34.87,863.05,860.43,127.366669,36.16,0.9752,657,0,8.775,0.97363,4.04,49595,92,30,4.67,0.01,4.93,0.01,4.93,0.01,4.93,0.01,31.92,0.43,37.13,0.58,37.23,0.58,37.25,0.58,37.25,0.58,0.55,0.0,72.9735,0,-1.980944,30.747063,1368.7,12,0.156256,0.7,992.7,0.3,992,994,-98.6,0.5,-100,-97,51.6,58.4,40,62,355.4,3474.8,245,490,244.6,892.4,183,288,-862.4,321.4,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217236,0.140785,0.078688,0.038052,0.0,30.0
17:15:23,1669698360,2022-11-29T05:06:00,2022-11-29T07:06:00,1.0,1034.04,31.89,31.33,33.79,31.69,34.99,863.23,860.5,127.066666,36.11,0.9754,657,0,8.774,0.97457,4.04,49584,92,30,5.01,0.03,5.3,0.04,5.3,0.04,5.3,0.04,34.31,1.61,39.91,2.17,40.02,2.19,40.03,2.19,40.03,2.19,0.53,0.0,72.976,0,-1.980986,30.747063,1364.8,12,0.052942,0.7,992.7,0.3,991,994,-98.7,0.7,-100,-97,52.2,52.1,40,61,344.4,2782.1,210,428,258.3,1143.8,192,341,-861.2,304.3,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214893,0.184062,0.074747,0.039439,0.0,30.0
17:15:53,1669698390,2022-11-29T05:06:30,2022-11-29T07:06:30,1.0,1034.54,31.9,31.28,33.76,31.69,34.7,863.03,860.43,127.199997,36.22,0.9752,657,0,8.774,0.97476,4.04,49573,92,30,3.88,0.37,4.11,0.42,4.11,0.42,4.11,0.42,26.56,17.52,30.9,23.71,30.98,23.85,30.99,23.86,30.99,23.86,0.54,0.0,72.9784,0,-1.981025,30.747053,1375.0,12,0.089436,0.7,992.7,0.2,991,994,-98.8,0.6,-100,-98,52.5,53.2,40,62,353.2,2629.0,245,455,252.3,1896.7,166,315,-864.8,273.0,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213401,0.065952,0.074368,0.038149,0.0,30.0
17:16:23,1669698420,2022-11-29T05:07:00,2022-11-29T07:07:00,0.998,1035.04,31.9,31.31,33.76,31.69,34.83,863.1,860.51,126.849998,36.25,0.9753,657,0,8.775,0.97439,4.04,49562,92,30,3.47,0.1,3.67,0.12,3.67,0.12,3.67,0.12,23.74,4.9,27.62,6.63,27.69,6.67,27.7,6.67,27.7,6.67,0.54,0.0,72.9803,0,-1.981071,30.747053,1395.4,12,0.018504,0.7,992.9,0.1,992,994,-98.8,0.6,-100,-97,52.2,53.2,40,62,327.2,2103.0,201,428,253.1,1090.0,201,323,-859.1,218.4,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21364,0.125181,0.074403,0.038172,0.0,30.0
17:16:53,1669698450,2022-11-29T05:07:30,2022-11-29T07:07:30,0.999,1035.54,31.9,31.33,33.76,31.69,34.82,863.12,860.5,127.199997,36.15,0.9753,657,0,8.774,0.97401,4.04,49551,91,30,3.48,0.02,3.68,0.02,3.68,0.02,3.68,0.02,23.82,0.95,27.71,1.28,27.79,1.29,27.8,1.29,27.8,1.29,0.53,0.0,72.9822,0,-1.981068,30.747051,1396.2,11,0.160882,0.7,992.6,0.2,991,994,-98.5,0.8,-100,-97,50.9,58.0,40,62,341.7,4536.8,201,463,249.5,900.1,192,332,-865.3,373.0,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.221775,0.181451,0.082448,0.03903,0.0,30.0
17:17:23,1669698480,2022-11-29T05:08:00,2022-11-29T07:08:00,0.998,1036.04,31.9,31.28,33.79,31.69,34.87,863.03,860.41,127.199997,36.05,0.9752,657,0,8.774,0.97325,4.04,49540,91,30,3.83,0.05,4.05,0.05,4.05,0.05,4.05,0.05,26.18,2.25,30.46,3.04,30.54,3.06,30.55,3.06,30.55,3.06,0.53,0.0,72.9841,0,-1.981068,30.747051,1396.2,11,0.238496,0.7,992.8,0.4,991,994,-98.5,0.5,-100,-97,50.0,58.7,40,61,342.9,3531.9,227,446,256.7,758.2,201,323,-860.4,390.7,-910,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213658,0.046726,0.074134,0.03902,0.0,30.0
17:17:53,1669698510,2022-11-29T05:08:30,2022-11-29T07:08:30,1.0,1036.54,31.9,31.32,33.77,31.69,34.8,863.13,860.45,126.666664,36.06,0.9753,657,0,8.774,0.97514,4.04,49529,91,30,3.55,0.05,3.76,0.05,3.76,0.05,3.76,0.05,24.31,2.16,28.28,2.92,28.36,2.94,28.37,2.94,28.37,2.94,0.54,0.0,72.986,0,-1.981043,30.747021,1378.7,10,0.26985,0.7,992.8,0.2,992,994,-98.6,0.4,-100,-97,51.1,54.5,40,62,345.3,3086.9,218,446,249.0,724.8,210,306,-855.4,187.2,-875,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213125,0.107274,0.074278,0.038164,0.0,30.0
17:18:23,1669698540,2022-11-29T05:09:00,2022-11-29T07:09:00,0.998,1037.04,31.9,31.28,33.78,31.69,34.97,863.03,860.46,127.150002,36.04,0.9753,657,0,8.774,0.97476,4.04,49518,91,30,3.89,0.0,4.11,0.0,4.11,0.0,4.11,0.0,26.6,0.11,30.95,0.15,31.03,0.15,31.04,0.15,31.04,0.15,0.54,0.0,72.988,0,-1.981056,30.747034,1375.2,11,0.060652,0.7,992.4,0.3,991,994,-98.6,0.5,-100,-97,49.7,56.7,40,61,343.2,4403.1,218,568,270.6,1070.3,201,332,-865.3,302.3,-892,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214245,0.155348,0.074335,0.039018,0.0,30.0
17:18:53,1669698570,2022-11-29T05:09:30,2022-11-29T07:09:30,1.0,1037.54,31.91,31.33,33.78,31.69,35.04,863.15,860.56,127.51667,36.15,0.9753,657,0,8.774,0.97495,4.04,49507,91,30,3.91,0.01,4.14,0.01,4.14,0.01,4.14,0.01,26.75,0.39,31.12,0.53,31.21,0.53,31.22,0.53,31.22,0.53,0.54,0.0,72.9901,0,-1.981055,30.747002,1371.0,10,0.276532,0.8,992.8,0.2,991,994,-98.6,0.7,-100,-97,51.6,53.6,40,61,344.5,2715.3,253,428,257.5,1223.6,183,323,-860.6,258.1,-883,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213475,0.035878,0.074283,0.03812,0.0,30.0
17:19:23,1669698600,2022-11-29T05:10:00,2022-11-29T07:10:00,1.0,1038.04,31.92,31.32,33.79,31.69,34.92,863.1,860.61,126.916664,36.13,0.9754,657,0,8.774,0.9742,4.04,49496,91,30,4.82,0.05,5.1,0.06,5.1,0.06,5.1,0.06,33.0,2.5,38.39,3.38,38.5,3.4,38.51,3.4,38.51,3.4,0.52,0.0,72.9924,0,-1.981021,30.747065,1364.1,11,0.114108,0.7,992.7,0.1,992,994,-98.6,0.6,-100,-97,50.1,55.9,40,62,351.4,2156.1,236,472,248.8,915.8,192,315,-859.5,258.0,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213627,0.09858,0.074293,0.039019,0.0,30.0
17:19:53,1669698630,2022-11-29T05:10:30,2022-11-29T07:10:30,1.0,1038.54,31.91,31.31,33.77,31.69,34.85,863.15,860.53,126.633331,36.04,0.9753,657,0,8.774,0.97439,4.04,49485,91,30,5.1,0.02,5.4,0.02,5.4,0.02,5.4,0.02,34.91,0.85,40.61,1.15,40.73,1.16,40.74,1.16,40.74,1.16,0.51,0.0,72.995,0,-1.981025,30.747076,1359.2,9,0.085838,0.9,992.7,0.2,992,994,-98.9,0.5,-100,-98,51.7,54.3,40,61,335.1,1510.9,201,402,249.4,716.2,201,297,-862.7,336.0,-910,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21382,0.142593,0.07429,0.039049,0.0,30.0
17:20:23,1669698660,2022-11-29T05:11:00,2022-11-29T07:11:00,0.998,1039.04,31.91,31.33,33.81,31.69,34.88,863.23,860.58,126.849998,36.05,0.9754,657,0,8.774,0.97401,4.04,49474,91,30,5.1,0.08,5.39,0.09,5.39,0.09,5.39,0.09,34.9,3.95,40.59,5.35,40.71,5.38,40.72,5.38,40.72,5.38,0.51,0.0,72.9977,0,-1.981054,30.747044,1366.0,11,0.586988,0.7,992.9,0.2,992,994,-98.7,0.9,-101,-97,50.6,53.8,40,61,340.0,3056.3,236,446,248.1,752.5,192,297,-860.9,313.2,-910,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214029,0.19651,0.074293,0.039044,0.0,30.0
17:20:53,1669698690,2022-11-29T05:11:30,2022-11-29T07:11:30,0.999,1039.54,31.93,31.31,33.8,31.69,34.95,863.2,860.51,127.0,36.14,0.9752,657,0,8.774,0.97439,4.04,49462,91,30,5.51,0.01,5.83,0.01,5.83,0.01,5.83,0.01,37.69,0.6,43.84,0.81,43.97,0.81,43.98,0.81,43.98,0.81,0.52,0.0,73.0005,0,-1.981037,30.747049,1358.1,11,0.2056,0.7,992.8,0.1,992,994,-98.7,0.7,-100,-97,51.3,57.1,40,60,349.1,1263.2,280,437,250.4,932.6,192,297,-855.1,274.6,-892,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217271,0.072517,0.078255,0.038109,0.0,30.0
17:21:23,1669698720,2022-11-29T05:12:00,2022-11-29T07:12:00,1.0,1040.04,31.93,31.32,33.78,31.69,35.05,863.15,860.51,127.066666,36.09,0.9752,657,0,8.774,0.97457,4.04,49451,91,30,5.09,0.23,5.38,0.25,5.38,0.25,5.38,0.25,34.81,10.6,40.49,14.35,40.6,14.43,40.62,14.44,40.62,14.44,0.54,0.0,73.0033,0,-1.981042,30.747,1365.0,11,0.312512,0.7,992.8,0.2,991,994,-98.8,0.7,-100,-97,50.6,56.0,40,61,337.1,1556.0,218,402,256.0,835.7,210,315,-859.7,276.3,-892,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.223491,0.070994,0.082973,0.039448,0.0,30.0
17:21:53,1669698750,2022-11-29T05:12:30,2022-11-29T07:12:30,1.001,1040.53,31.93,31.32,33.81,31.69,34.93,863.26,860.59,127.150002,36.03,0.9753,657,0,8.773,0.97457,4.04,49440,91,30,4.25,0.02,4.49,0.02,4.49,0.02,4.49,0.02,29.05,0.83,33.8,1.13,33.89,1.13,33.91,1.13,33.91,1.13,0.54,0.0,73.0057,0,-1.981072,30.747017,1368.2,10,0.076586,0.8,992.6,0.3,991,994,-98.7,0.6,-100,-97,50.6,59.7,40,61,349.1,1956.9,271,437,256.1,1403.3,148,341,-858.2,295.7,-883,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219151,0.12209,0.079816,0.039032,0.0,30.0
17:22:23,1669698780,2022-11-29T05:13:00,2022-11-29T07:13:00,1.0,1041.03,31.93,31.31,33.79,31.69,34.96,863.26,860.61,127.316666,36.11,0.9753,657,0,8.775,0.97609,4.04,49429,91,30,4.63,0.02,4.89,0.03,4.89,0.03,4.89,0.03,31.66,1.15,36.83,1.56,36.93,1.57,36.95,1.57,36.95,1.57,0.54,0.0,73.0081,0,-1.981058,30.747046,1373.6,11,0.062194,0.7,992.6,0.2,991,994,-98.7,0.7,-100,-97,50.7,56.6,40,62,347.8,2635.9,253,446,251.3,1127.3,175,323,-865.9,359.6,-910,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21385,0.175549,0.074279,0.039045,0.0,30.0
17:22:53,1669698810,2022-11-29T05:13:30,2022-11-29T07:13:30,1.0,1041.53,31.94,31.31,33.78,31.69,34.81,863.31,860.59,127.216667,36.02,0.9753,657,0,8.775,0.97552,4.04,49418,91,30,4.76,0.04,5.03,0.05,5.03,0.05,5.03,0.05,32.55,2.02,37.87,2.74,37.97,2.75,37.99,2.75,37.99,2.75,0.54,0.0,73.0106,0,-1.98105,30.747004,1367.6,11,0.49344,0.7,992.8,0.0,992,994,-98.8,0.6,-100,-97,50.4,59.2,39,62,355.4,2253.5,271,463,245.5,846.8,183,306,-865.3,261.4,-892,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213418,0.052606,0.074581,0.038141,0.0,30.0
17:23:23,1669698840,2022-11-29T05:14:00,2022-11-29T07:14:00,0.999,1042.03,31.95,31.31,33.8,31.69,34.82,863.23,860.59,127.25,36.12,0.9752,657,0,8.774,0.97552,4.04,49407,91,30,4.6,0.02,4.87,0.02,4.87,0.02,4.87,0.02,31.48,0.78,36.62,1.05,36.73,1.06,36.74,1.06,36.74,1.06,0.54,0.0,73.013,0,-1.981063,30.747017,1371.7,11,0.167564,0.7,992.8,0.3,991,994,-99.0,0.8,-101,-97,50.9,54.5,40,61,335.4,2455.8,253,420,246.1,1723.0,166,323,-861.3,220.1,-883,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214382,0.107631,0.074439,0.039043,0.0,30.0
17:23:53,1669698870,2022-11-29T05:14:30,2022-11-29T07:14:30,1.0,1042.53,31.94,31.33,33.79,31.69,34.97,863.25,860.64,126.900002,35.9,0.9754,657,0,8.775,0.97533,4.04,49396,91,30,4.84,0.1,5.12,0.12,5.12,0.12,5.12,0.12,33.12,4.91,38.53,6.65,38.64,6.69,38.65,6.69,38.65,6.69,0.54,0.0,73.0155,0,-1.981074,30.747015,1376.9,10,0.340268,0.7,992.6,0.2,991,994,-98.8,0.5,-100,-98,50.6,52.4,40,62,337.7,2144.5,253,420,254.2,1276.2,183,341,-865.0,328.4,-901,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.214661,0.157281,0.07456,0.039007,0.0,30.0
17:24:23,1669698900,2022-11-29T05:15:00,2022-11-29T07:15:00,1.0,1043.03,31.94,31.33,33.8,31.69,34.9,863.25,860.64,127.066666,36.08,0.9753,657,0,8.775,0.97457,4.04,49385,91,30,5.48,0.03,5.8,0.04,5.81,0.04,5.81,0.04,37.49,1.56,43.62,2.1,43.75,2.1,43.77,2.1,43.77,2.1,0.55,0.0,73.0182,0,-1.981107,30.747059,1375.2,10,0.185554,0.7,992.7,0.0,992,994,-99.0,0.6,-100,-98,50.4,56.6,40,61,325.0,2051.0,192,402,251.0,1217.5,192,315,-860.6,283.0,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21386,0.039065,0.074492,0.03905,0.0,30.0
